classname,youtube_id,subset,start,end,label
Horseback riding,a33LPsdX68U,training,8.5,10.5,1
Horseback riding,zWRmxTnuDwM,training,28.5,30.5,1
Horseback riding,WdPr5hjAlF8,training,44.5,46.5,1
Horseback riding,WE4IvR8yghQ,training,27.0,29.0,-1
Horseback riding,-xM9GZNpbDc,training,12.5,14.5,1
Horseback riding,oFhELJ0GFVI,training,23.5,25.5,1
Horseback riding,Cl389eOBMG0,training,13.5,15.5,-1
Horseback riding,-OUK3T36pvk,training,24.5,26.5,1
Horseback riding,i9oL4c0Pd3I,training,6.5,8.5,1
Horseback riding,FHnPLaXIm74,training,25.0,27.0,-1
Horseback riding,Qo2h53UlUyM,training,28.5,30.5,-1
Horseback riding,t6sM3rtfJOM,training,10.5,12.5,1
Horseback riding,KRcow7yMAcw,training,7.0,9.0,1
Horseback riding,BMUsXHnshhg,training,6.0,8.0,1
Horseback riding,F2TJt043lCU,training,4.5,6.5,1
Horseback riding,VqzbGr5uSOk,training,42.0,44.0,1
Horseback riding,Z6-kUXQ0jZ4,training,47.0,49.0,-1
Horseback riding,WFYK0M6WZP4,training,3.0,5.0,-1
Horseback riding,omyMfiiTFXA,training,12.5,14.5,1
Horseback riding,l2XQNB9I6tU,training,2.5,4.5,1
Horseback riding,KxS1P4VbxRQ,training,43.5,45.5,1
Horseback riding,RgenPjjFS_A,training,71.5,73.5,-1
Horseback riding,xBlgSRz9lPw,training,40.0,42.0,1
Horseback riding,Gl1XROWzIqE,training,13.0,15.0,1
Horseback riding,Y83RZmkSU7U,training,9.5,11.5,1
Horseback riding,b1pihU_a2bU,training,18.5,20.5,1
Horseback riding,Usqy2Jtheys,training,5.5,7.5,1
Horseback riding,ybchq-lOz2I,training,71.5,73.5,1
Horseback riding,f93MdrCHGH4,training,6.5,8.5,1
Horseback riding,SOGIYw0Gqt8,training,13.0,15.0,1
Horseback riding,M0wTisubmaM,training,5.5,7.5,1
Horseback riding,kxM6wPHPpYE,training,104.5,106.5,1
Horseback riding,AWvuQgH8Us4,training,119.0,121.0,-1
Horseback riding,J3DdFE56Sdk,training,21.5,23.5,1
Horseback riding,dFAGnnCiDVY,training,21.0,23.0,1
Horseback riding,RvREuEgQrjo,training,33.5,35.5,-1
Horseback riding,YlCxOdJAJ1A,training,7.0,9.0,1
Horseback riding,OqDcs4OoD0I,training,11.5,13.5,1
Horseback riding,opkatooOD5E,training,3.0,5.0,1
Horseback riding,G5wh_BF-I5c,training,29.0,31.0,-1
Horseback riding,q7UtyDOnKHI,training,11.5,13.5,1
Horseback riding,G3FpYrens48,training,35.5,37.5,1
Horseback riding,3Y_XEsZlQ78,training,14.5,16.5,-1
Horseback riding,GRtauXeaUWY,training,18.0,20.0,1
Horseback riding,cvBVbzAcYSk,training,15.5,17.5,-1
Horseback riding,YVjdnuPZOqQ,training,18.0,20.0,1
Horseback riding,3iJsWyq9DJc,training,29.5,31.5,1
Horseback riding,uisAJjACsAA,training,65.0,67.0,1
Horseback riding,0KtGK3_OL3g,training,13.0,15.0,1
Horseback riding,Of9d3sMzKAA,training,40.5,42.5,-1
Horseback riding,e1DFDUtJvA8,training,2.5,4.5,-1
Horseback riding,K8r-YxXWc-g,training,11.0,13.0,-1
Horseback riding,fVezdFGYOE0,training,12.0,14.0,1
Horseback riding,o-8rl5c9fcI,training,16.5,18.5,1
Horseback riding,o-8rl5c9fcI,training,8.0,10.0,1
Horseback riding,_Kr97fcf_AQ,training,20.0,22.0,1
Horseback riding,_Kr97fcf_AQ,training,1.5,3.5,-1
Horseback riding,cMU3Wu36Kvw,training,26.0,28.0,1
Horseback riding,cMU3Wu36Kvw,training,1.5,3.5,-1
Horseback riding,DSXZuhQX0dM,training,0.5,2.5,1
Horseback riding,DSXZuhQX0dM,training,3.0,5.0,1
Horseback riding,wMxA_pNoEqc,training,22.0,24.0,1
Horseback riding,wMxA_pNoEqc,training,8.0,10.0,1
Horseback riding,eX1gCUWuDdQ,training,188.0,190.0,1
Horseback riding,eX1gCUWuDdQ,training,192.5,194.5,1
Horseback riding,NQDv2U7xGFY,training,3.5,5.5,1
Horseback riding,NQDv2U7xGFY,training,15.0,17.0,1
Horseback riding,W6URDRLDax4,training,35.5,37.5,1
Horseback riding,W6URDRLDax4,training,27.5,29.5,1
Horseback riding,vXvxFL5cbGQ,training,8.0,10.0,1
Horseback riding,vXvxFL5cbGQ,training,2.5,4.5,1
Horseback riding,DSjsILxL1DM,training,3.5,5.5,1
Horseback riding,DSjsILxL1DM,training,14.0,16.0,1
Horseback riding,wT9gO-qYyVs,training,21.5,23.5,1
Horseback riding,wT9gO-qYyVs,training,10.5,12.5,1
Horseback riding,Ff5E3_2uawA,training,13.0,15.0,1
Horseback riding,Ff5E3_2uawA,training,5.5,7.5,1
Horseback riding,Rt78eVfqp5A,training,10.0,12.0,1
Horseback riding,Rt78eVfqp5A,training,23.0,25.0,1
Horseback riding,rOTSOtCDCjo,training,31.5,33.5,1
Horseback riding,rOTSOtCDCjo,training,12.5,14.5,1
Horseback riding,Bjc_PI5Pd2c,training,6.0,8.0,1
Horseback riding,Bjc_PI5Pd2c,training,23.0,25.0,1
Horseback riding,Mdf-oL1sw9w,training,17.5,19.5,-1
Horseback riding,Mdf-oL1sw9w,training,44.5,46.5,1
Horseback riding,1kRlydcjTjc,training,3.5,5.5,-1
Horseback riding,1kRlydcjTjc,training,10.0,12.0,1
Horseback riding,kd312FozPgo,training,19.5,21.5,1
Horseback riding,kd312FozPgo,training,8.0,10.0,1
Horseback riding,EQQ1Tyvetxk,training,2.5,4.5,1
Horseback riding,EQQ1Tyvetxk,training,17.0,19.0,1
Horseback riding,aF6ZYVUuMGc,training,78.5,80.5,1
Horseback riding,aF6ZYVUuMGc,training,38.5,40.5,1
Horseback riding,ftHs8aWJo4k,training,9.0,11.0,1
Horseback riding,ftHs8aWJo4k,training,24.5,26.5,-1
Horseback riding,iARN7dEUtfU,training,10.0,12.0,1
Horseback riding,iARN7dEUtfU,training,21.5,23.5,1
Horseback riding,mrW7uBYafsg,training,7.5,9.5,1
Horseback riding,mrW7uBYafsg,training,3.5,5.5,1
Horseback riding,Qf-uNr1IW2A,training,1.0,3.0,1
Horseback riding,Qf-uNr1IW2A,training,10.0,12.0,1
Horseback riding,LejhoYO1Qb0,training,8.0,10.0,-1
Horseback riding,LejhoYO1Qb0,training,2.5,4.5,-1
Horseback riding,YJL9eWuhYfc,training,4.0,6.0,1
Horseback riding,YJL9eWuhYfc,training,12.5,14.5,1
Horseback riding,lu8Pmx4vQBk,training,12.5,14.5,1
Horseback riding,lu8Pmx4vQBk,training,35.5,37.5,1
Horseback riding,uP80x3QpXoQ,training,40.5,42.5,1
Horseback riding,uP80x3QpXoQ,training,19.5,21.5,-1
Horseback riding,ZOMKc4-x5vo,training,36.0,38.0,1
Horseback riding,ZOMKc4-x5vo,training,16.5,18.5,1
Horseback riding,9jO4X6oYljQ,training,66.5,68.5,1
Horseback riding,9jO4X6oYljQ,training,13.0,15.0,1
Horseback riding,cM_Ggm60CZY,training,2.0,4.0,1
Horseback riding,cM_Ggm60CZY,training,12.5,14.5,1
Horseback riding,WhI3cqXJQzw,training,7.5,9.5,1
Horseback riding,WhI3cqXJQzw,training,60.0,62.0,1
Horseback riding,mwjEPbQY_gg,training,1.5,3.5,1
Horseback riding,mwjEPbQY_gg,training,9.0,11.0,1
Horseback riding,k_AZZ_ebERw,training,26.0,28.0,1
Horseback riding,k_AZZ_ebERw,training,12.0,14.0,1
Horseback riding,LpUrz9RvuPk,training,11.5,13.5,1
Horseback riding,LpUrz9RvuPk,training,5.0,7.0,-1
Horseback riding,P5H2lkWVvXA,training,17.5,19.5,1
Horseback riding,P5H2lkWVvXA,training,2.0,4.0,1
Horseback riding,TbNjvnSZlZA,training,17.0,19.0,1
Horseback riding,TbNjvnSZlZA,training,4.0,6.0,1
Horseback riding,kGLVxXcJL4g,training,10.5,12.5,1
Horseback riding,kGLVxXcJL4g,training,23.5,25.5,1
Horseback riding,nJTchPZ6Hyo,training,4.0,6.0,1
Horseback riding,nJTchPZ6Hyo,training,9.5,11.5,1
Horseback riding,yKlM6dg0CXk,training,11.5,13.5,-1
Horseback riding,yKlM6dg0CXk,training,3.0,5.0,-1
Horseback riding,AiipdvKBSVc,training,210.0,212.0,-1
Horseback riding,AiipdvKBSVc,training,101.5,103.5,1
Horseback riding,5NTNMJQj3Uw,training,2.0,4.0,1
Horseback riding,5NTNMJQj3Uw,training,11.5,13.5,1
Horseback riding,w_3GhzgH0hY,training,25.5,27.5,-1
Horseback riding,w_3GhzgH0hY,training,4.0,6.0,1
Horseback riding,IayBatbHcFI,training,19.0,21.0,-1
Horseback riding,IayBatbHcFI,training,5.5,7.5,-1
Horseback riding,hXRvru_Vwd8,training,7.0,9.0,1
Horseback riding,hXRvru_Vwd8,training,2.0,4.0,1
Horseback riding,q_BqqsBjA2o,training,79.0,81.0,1
Horseback riding,q_BqqsBjA2o,training,38.0,40.0,1
Horseback riding,aRkLJUHGw4o,training,12.5,14.5,-1
Horseback riding,aRkLJUHGw4o,training,5.0,7.0,-1
Horseback riding,XykVtwJEhmE,training,8.0,10.0,1
Horseback riding,XykVtwJEhmE,training,19.0,21.0,1
Horseback riding,GetB4RDTciY,training,37.0,39.0,1
Horseback riding,GetB4RDTciY,training,18.0,20.0,1
Horseback riding,bunoLSdIKXo,training,57.5,59.5,-1
Horseback riding,bunoLSdIKXo,training,6.0,8.0,-1
Horseback riding,K1G9oeCcQQU,training,19.5,21.5,1
Horseback riding,K1G9oeCcQQU,training,9.5,11.5,1
Horseback riding,7YQ3Ij6W8aM,training,12.5,14.5,1
Horseback riding,7YQ3Ij6W8aM,training,4.5,6.5,1
Horseback riding,Der1qg6206U,training,8.0,10.0,1
Horseback riding,Der1qg6206U,training,3.5,5.5,1
Horseback riding,-rpyWqnvHME,training,44.5,46.5,1
Horseback riding,-rpyWqnvHME,training,3.0,5.0,1
Horseback riding,Q7EX30FDp6E,training,26.5,28.5,1
Horseback riding,Q7EX30FDp6E,training,7.5,9.5,1
Horseback riding,Z9PDQYcQMFs,training,3.5,5.5,1
Horseback riding,Z9PDQYcQMFs,training,14.5,16.5,1
Horseback riding,KFghJXfTox4,training,4.5,6.5,1
Horseback riding,KFghJXfTox4,training,14.0,16.0,-1
Horseback riding,POsazOPP9PA,training,51.0,53.0,1
Horseback riding,POsazOPP9PA,training,22.5,24.5,1
Horseback riding,0XE4cKDnX2E,training,15.5,17.5,-1
Horseback riding,0XE4cKDnX2E,training,31.0,33.0,-1
Horseback riding,Djf6n6T0N3k,training,2.0,4.0,1
Horseback riding,Djf6n6T0N3k,training,9.0,11.0,1
Horseback riding,Sa8jYeNgeJ0,training,12.5,14.5,-1
Horseback riding,Sa8jYeNgeJ0,training,87.0,89.0,-1
Horseback riding,vUdF97Tx_lE,training,5.0,7.0,1
Horseback riding,vUdF97Tx_lE,training,1.5,3.5,1
Horseback riding,fBKpk9f6egM,training,54.0,56.0,1
Horseback riding,fBKpk9f6egM,training,111.0,113.0,1
Horseback riding,OKYFWDijdLM,training,2.5,4.5,1
Horseback riding,OKYFWDijdLM,training,8.0,10.0,1
Horseback riding,8Pxfo6glGpc,training,17.0,19.0,1
Horseback riding,8Pxfo6glGpc,training,5.5,7.5,1
Horseback riding,pFyCuajSeKU,training,4.0,6.0,1
Horseback riding,pFyCuajSeKU,training,11.0,13.0,1
Horseback riding,xuhsAsK9M_w,training,6.0,8.0,-1
Horseback riding,xuhsAsK9M_w,training,43.5,45.5,-1
Horseback riding,xEKb-v3or1s,training,14.0,16.0,1
Horseback riding,xEKb-v3or1s,training,32.0,34.0,1
Horseback riding,Gktr4av2z7c,training,22.5,24.5,1
Horseback riding,Gktr4av2z7c,training,68.0,70.0,1
Horseback riding,MujFgeiq82U,training,57.5,59.5,1
Horseback riding,MujFgeiq82U,training,145.0,147.0,1
Horseback riding,zp4DKYGBp8s,training,37.0,39.0,1
Horseback riding,zp4DKYGBp8s,training,20.0,22.0,1
Horseback riding,1D-kVYl5gSo,training,3.5,5.5,-1
Horseback riding,1D-kVYl5gSo,training,40.5,42.5,1
Horseback riding,ORSve8Vi2OU,training,66.5,68.5,-1
Horseback riding,ORSve8Vi2OU,training,22.0,24.0,-1
Horseback riding,RWWCGfbG-vo,training,1.0,3.0,1
Horseback riding,RWWCGfbG-vo,training,5.5,7.5,1
Horseback riding,7QuoNgRHu3E,training,47.0,49.0,-1
Horseback riding,7QuoNgRHu3E,training,26.0,28.0,-1
Horseback riding,7hmvOwqQKeQ,training,103.0,105.0,1
Horseback riding,7hmvOwqQKeQ,training,47.5,49.5,-1
Horseback riding,LD2S00UbjJQ,training,19.0,21.0,1
Horseback riding,LD2S00UbjJQ,training,58.0,60.0,-1
Horseback riding,cs5Pa6KNC4I,training,67.5,69.5,1
Horseback riding,cs5Pa6KNC4I,training,96.5,98.5,1
Horseback riding,x0YeE_imt_0,training,7.0,9.0,1
Horseback riding,x0YeE_imt_0,training,20.5,22.5,1
Horseback riding,Wyfzfy1ImUQ,training,11.0,13.0,1
Horseback riding,Wyfzfy1ImUQ,training,30.5,32.5,1
Horseback riding,HFA_4HkuXqc,training,23.0,25.0,-1
Horseback riding,R3di5VrJl-I,training,33.5,35.5,-1
Horseback riding,R3di5VrJl-I,training,6.0,8.0,1
Horseback riding,lO4-fa-1HI4,training,6.5,8.5,1
Horseback riding,lO4-fa-1HI4,training,38.5,40.5,1
Horseback riding,TSl8N-QqZec,training,14.0,16.0,1
Horseback riding,TSl8N-QqZec,training,4.5,6.5,1
Horseback riding,zrNnFAw-1Mg,training,3.5,5.5,1
Horseback riding,zrNnFAw-1Mg,training,59.5,61.5,1
Horseback riding,MV_achUh6RA,training,2.0,4.0,1
Horseback riding,MV_achUh6RA,training,10.0,12.0,-1
Horseback riding,2RHLCtb1Kek,training,10.0,12.0,-1
Horseback riding,2RHLCtb1Kek,training,4.5,6.5,1
Horseback riding,TfYl2AlHfd8,training,9.5,11.5,1
Horseback riding,TfYl2AlHfd8,training,21.0,23.0,1
Horseback riding,1FVASnWZUJo,training,13.0,15.0,-1
Horseback riding,1FVASnWZUJo,training,28.0,30.0,-1
Horseback riding,Xku11eUnhNs,training,16.5,18.5,1
Horseback riding,Xku11eUnhNs,training,2.0,4.0,1
Horseback riding,hkHo9gknkgw,training,31.0,33.0,-1
Horseback riding,4slSDA_iDwE,training,33.5,35.5,1
Horseback riding,4slSDA_iDwE,training,70.5,72.5,1
Horseback riding,naIKLYFII9c,training,1.5,3.5,1
Horseback riding,naIKLYFII9c,training,8.5,10.5,1
Horseback riding,QbKxCjxaLBM,training,21.5,23.5,1
Horseback riding,QbKxCjxaLBM,training,10.0,12.0,1
Horseback riding,xZ9hMpX3nHU,training,2.5,4.5,1
Horseback riding,xZ9hMpX3nHU,training,10.5,12.5,1
Horseback riding,vplhmlmYHL0,training,8.5,10.5,1
Horseback riding,vplhmlmYHL0,training,2.5,4.5,1
Horseback riding,87aVed-o7Io,training,38.5,40.5,1
Horseback riding,87aVed-o7Io,training,12.0,14.0,1
Horseback riding,pJRDD2RvNkQ,training,1.5,3.5,1
Horseback riding,pJRDD2RvNkQ,training,7.5,9.5,1
Horseback riding,vH7P8l24Pqo,training,7.5,9.5,1
Horseback riding,vH7P8l24Pqo,training,3.5,5.5,1
Horseback riding,EBWYnNvDplY,training,22.5,24.5,-1
Horseback riding,EBWYnNvDplY,training,12.0,14.0,1
Horseback riding,3-4xZOvL2qM,training,34.5,36.5,1
Horseback riding,3-4xZOvL2qM,training,6.0,8.0,1
Horseback riding,65a8niWjdWE,training,18.0,20.0,1
Horseback riding,65a8niWjdWE,training,35.0,37.0,1
Horseback riding,lgi5CmJ3mBg,training,39.5,41.5,1
Horseback riding,lgi5CmJ3mBg,training,3.5,5.5,1
Horseback riding,ZVzl9eS_bnE,training,13.0,15.0,1
Horseback riding,ZVzl9eS_bnE,training,2.0,4.0,1
Horseback riding,65lgpvWVREw,training,54.5,56.5,1
Horseback riding,4h43hO_NapU,training,23.0,25.0,1
Horseback riding,4h43hO_NapU,training,9.0,11.0,1
Horseback riding,ya9XilmQnA4,training,11.5,13.5,-1
Horseback riding,ya9XilmQnA4,training,24.0,26.0,-1
Horseback riding,kwtg8BllAx8,training,21.0,23.0,1
Horseback riding,kwtg8BllAx8,training,8.0,10.0,1
Horseback riding,2XhPtwtUZ3M,training,10.0,12.0,1
Horseback riding,2XhPtwtUZ3M,training,37.0,39.0,1
Horseback riding,X6y2Rdhog6Y,training,4.5,6.5,1
Horseback riding,X6y2Rdhog6Y,training,10.5,12.5,1
Horseback riding,jQ-6xAjg3xY,training,1.5,3.5,1
Horseback riding,jQ-6xAjg3xY,training,9.5,11.5,1
Horseback riding,IrFMFY_hTuk,training,5.5,7.5,1
Horseback riding,IrFMFY_hTuk,training,14.0,16.0,1
Horseback riding,4K6s_BOHs00,training,3.0,5.0,-1
Horseback riding,4K6s_BOHs00,training,22.5,24.5,-1
Horseback riding,_xZTYACc6Pw,training,41.0,43.0,1
Horseback riding,_xZTYACc6Pw,training,19.0,21.0,1
Horseback riding,sa-ywvnLt50,training,10.5,12.5,1
Horseback riding,sa-ywvnLt50,training,25.5,27.5,1
Horseback riding,OyxlCD3ghTU,training,4.0,6.0,-1
Horseback riding,OyxlCD3ghTU,training,34.0,36.0,-1
Horseback riding,B_CRq51rWoI,training,32.5,34.5,1
Horseback riding,B_CRq51rWoI,training,13.5,15.5,1
Horseback riding,tlJS6lQKOuQ,training,7.0,9.0,1
Horseback riding,tlJS6lQKOuQ,training,20.0,22.0,1
Horseback riding,IIvYOnuiQIo,training,13.5,15.5,1
Horseback riding,IIvYOnuiQIo,training,4.5,6.5,1
Horseback riding,t3TeGpoXmJQ,training,15.0,17.0,1
Horseback riding,t3TeGpoXmJQ,training,7.0,9.0,1
Horseback riding,kCez1pIgSUE,training,10.5,12.5,1
Horseback riding,kCez1pIgSUE,training,4.5,6.5,1
Horseback riding,4rcBIE7AHbs,training,4.5,6.5,1
Horseback riding,4rcBIE7AHbs,training,9.5,11.5,-1
Horseback riding,c6yzwn9Skpw,training,17.0,19.0,1
Horseback riding,c6yzwn9Skpw,training,30.0,32.0,1
Horseback riding,MTRYUmEPK2w,training,2.0,4.0,1
Horseback riding,MTRYUmEPK2w,training,5.5,7.5,1
Horseback riding,hCtVI0-p0bk,training,17.0,19.0,1
Horseback riding,hCtVI0-p0bk,training,6.0,8.0,1
Horseback riding,6IFTI8dF-tk,training,9.5,11.5,1
Horseback riding,6IFTI8dF-tk,training,3.5,5.5,1
Horseback riding,iPM1JsFslKk,training,8.5,10.5,1
Horseback riding,iPM1JsFslKk,training,21.0,23.0,1
Horseback riding,Mq-hBTQ-UKA,training,15.0,17.0,1
Horseback riding,Mq-hBTQ-UKA,training,4.0,6.0,1
Horseback riding,FHpTJGZvzC8,training,107.5,109.5,-1
Horseback riding,FHpTJGZvzC8,training,33.5,35.5,-1
Horseback riding,vUX_sFxGWcQ,training,2.0,4.0,1
Horseback riding,vUX_sFxGWcQ,training,7.5,9.5,1
Horseback riding,DPsqVfxjac4,training,1.0,3.0,1
Horseback riding,DPsqVfxjac4,training,5.5,7.5,1
Horseback riding,GeZgOFpeL4k,training,8.0,10.0,1
Horseback riding,GeZgOFpeL4k,training,19.5,21.5,-1
Horseback riding,fn_lsuAFks8,training,15.0,17.0,1
Horseback riding,fn_lsuAFks8,training,5.0,7.0,1
Horseback riding,DmPeC4Rpfhg,training,15.0,17.0,1
Horseback riding,DmPeC4Rpfhg,training,31.0,33.0,1
Horseback riding,bpz6UZ4fZZ8,training,3.0,5.0,1
Horseback riding,bpz6UZ4fZZ8,training,14.0,16.0,1
Horseback riding,w_P8fe9hkt0,training,16.5,18.5,1
Horseback riding,w_P8fe9hkt0,training,6.5,8.5,1
Horseback riding,2LYSd09h4WA,training,7.5,9.5,-1
Horseback riding,2LYSd09h4WA,training,2.5,4.5,-1
Horseback riding,M4vfhDiaDiY,training,17.0,19.0,1
Horseback riding,M4vfhDiaDiY,training,4.0,6.0,1
Horseback riding,EI17GaJgc2I,training,14.5,16.5,1
Horseback riding,EI17GaJgc2I,training,31.0,33.0,-1
Horseback riding,NyB-N8LRj04,training,10.5,12.5,1
Horseback riding,NyB-N8LRj04,training,3.5,5.5,1
Horseback riding,8T5XhBZ7Fpo,training,5.0,7.0,1
Horseback riding,8T5XhBZ7Fpo,training,26.5,28.5,1
Horseback riding,vAPSYXrF2Gc,training,29.0,31.0,1
Horseback riding,vAPSYXrF2Gc,training,15.0,17.0,1
Horseback riding,oQ3e2MqAy4U,training,57.0,59.0,1
Horseback riding,oQ3e2MqAy4U,training,22.5,24.5,1
Horseback riding,2yp2gBvD29g,training,12.0,14.0,1
Horseback riding,2yp2gBvD29g,training,33.0,35.0,1
Horseback riding,NZ733y-ThjY,training,16.0,18.0,-1
Horseback riding,NZ733y-ThjY,training,9.0,11.0,-1
Horseback riding,TJ5PV_zxzPQ,training,5.0,7.0,1
Horseback riding,TJ5PV_zxzPQ,training,12.0,14.0,1
Horseback riding,L23eu986Itw,training,7.5,9.5,1
Horseback riding,L23eu986Itw,training,36.0,38.0,1
Horseback riding,syvHt0QAy6M,training,3.0,5.0,1
Horseback riding,syvHt0QAy6M,training,79.0,81.0,1
Horseback riding,DqMxoSAQhC4,training,11.5,13.5,1
Horseback riding,DqMxoSAQhC4,training,7.0,9.0,-1
Horseback riding,R8z8E2CP2HQ,training,9.5,11.5,1
Horseback riding,R8z8E2CP2HQ,training,21.5,23.5,1
Horseback riding,wQ29vU95I-o,training,36.0,38.0,1
Horseback riding,wQ29vU95I-o,training,13.0,15.0,1
Horseback riding,2yAc42en56E,training,31.0,33.0,-1
Horseback riding,2yAc42en56E,training,13.0,15.0,1
Horseback riding,-82JUncL_oo,training,8.0,10.0,1
Horseback riding,-82JUncL_oo,training,3.0,5.0,1
Horseback riding,O_5Kf5D5tjs,training,63.5,65.5,1
Horseback riding,O_5Kf5D5tjs,training,2.0,4.0,1
Horseback riding,DT01ZI731sU,training,19.0,21.0,1
Horseback riding,DT01ZI731sU,training,8.0,10.0,1
Horseback riding,S7q6jmrCtQo,training,9.5,11.5,-1
Horseback riding,S7q6jmrCtQo,training,18.0,20.0,-1
Horseback riding,nSnEudFEoCU,training,35.5,37.5,1
Horseback riding,nSnEudFEoCU,training,11.5,13.5,1
Horseback riding,Jhw1J7TAKFM,training,22.5,24.5,1
Horseback riding,Jhw1J7TAKFM,training,9.0,11.0,1
Horseback riding,TMB5ML0Bqac,training,28.5,30.5,-1
Horseback riding,TMB5ML0Bqac,training,63.5,65.5,-1
Horseback riding,BkQfDg-89qg,training,17.0,19.0,-1
Horseback riding,BkQfDg-89qg,training,1.5,3.5,1
Horseback riding,wObzOeAPYkw,training,61.5,63.5,1
Horseback riding,wObzOeAPYkw,training,20.0,22.0,1
Horseback riding,vxCp8LQYDG4,training,20.0,22.0,1
Horseback riding,vxCp8LQYDG4,training,18.5,20.5,1
Horseback riding,xWiKmY1FUAU,training,25.5,27.5,1
Horseback riding,xWiKmY1FUAU,training,12.0,14.0,1
Horseback riding,Zmc0Fd015Ts,training,9.0,11.0,1
Horseback riding,Zmc0Fd015Ts,training,4.0,6.0,1
Horseback riding,Zmc0Fd015Ts,training,10.5,12.5,1
Horseback riding,fh3SYZRDuD8,training,12.0,14.0,1
Horseback riding,fh3SYZRDuD8,training,60.0,62.0,1
Horseback riding,fh3SYZRDuD8,training,18.5,20.5,1
Horseback riding,_w5vJkqcCDg,training,10.0,12.0,1
Horseback riding,_w5vJkqcCDg,training,1.5,3.5,-1
Horseback riding,_w5vJkqcCDg,training,4.5,6.5,1
Horseback riding,HwlS84JU8_g,training,16.0,18.0,1
Horseback riding,HwlS84JU8_g,training,6.0,8.0,1
Horseback riding,HwlS84JU8_g,training,11.0,13.0,1
Horseback riding,co0he_zhZIU,training,14.0,16.0,1
Horseback riding,co0he_zhZIU,training,2.0,4.0,1
Horseback riding,co0he_zhZIU,training,12.0,14.0,1
Horseback riding,NzqdqaJ-JvM,training,23.0,25.0,1
Horseback riding,NzqdqaJ-JvM,training,7.5,9.5,1
Horseback riding,NzqdqaJ-JvM,training,36.0,38.0,1
